src_ip,src_port,dst_ip,host,url,user_agent,response_size,status_code,attack,anomaly
2,38628,11,4,787,61,980,400,1,1
3,51532,11,4,810,59,980,400,1,1
2,33250,6,13,443,13,168,404,1,1
2,53140,6,13,172,84,168,404,1,1
3,43666,9,2,473,60,301,400,1,1
3,41136,9,2,396,56,301,400,1,1
3,46010,10,3,1008,53,308,404,1,1
3,60550,21,14,133,84,2160,403,1,1
2,33968,7,14,99,84,779,403,1,1
3,42158,11,4,678,84,1261,403,1,1
2,38912,10,3,897,84,1185,403,1,1
3,57102,6,13,445,48,168,404,1,1
2,34706,9,2,115,84,1875,403,1,1
2,56718,21,14,9,81,0,400,1,1
2,41580,21,14,566,80,0,400,1,1
3,50674,10,3,960,29,306,404,1,1
2,36138,10,3,923,84,1111,403,1,1
2,38412,10,3,937,84,1158,403,1,1
3,56408,11,4,803,4,0,302,1,1
2,33936,6,13,201,84,168,404,1,1
